Name,Age,Gender,Educational Background,Physical Traits,Personality Traits,Creative Expression,Problem Solving,LeaderShip and Managment,Communication ,Helping Others,Hard Skills,Soft Skills,Preffred Work mode,Comfortable with Technology (1-5),Stress Tolerance (1-5),Open to Relocation (Yes/No),Preferred Work Environment,Certifications (Yes/No),Predicted Career,Predicted Degree,Predicted University,
Ivan,16,Other,Matric,Sedentary,"Organized, Creative, Detail-Oriented",Photography,Data Analysis,Business  ,Social Media Management  ,Education,Writing,Teamwork,On-site,2,4,No,Outdoor,No,Graphic Designer,BA Graphic Design,IBA Karachi,
Ivan,20,Male,FSc,Moderately Active,"Adventurous, Curious, Creative",Photography,Data Analysis,Team Leadership  ,Broadcasting  ,Education,Graphic Design,Teamwork,On-site,5,5,No,Outdoor,No,Nurse,BSc Nursing,COMSATS,
Julia,18,Male,Matric,Sedentary,"Analytical, Adventurous, Patient",Writing,Programming,Organizational Strategy  ,Digital Content Creation  ,Non-profit Work,Project Management,Problem-Solving,Remote,1,3,No,Indoor,Yes,Photographer,Diploma Photography,LUMS,
George,20,Male,Diploma,Active,"Adventurous, Analytical, Creative",Photography,Data Analysis,Finance  ,Journalism  ,Counseling,Data Analysis,Leadership,Hybrid,1,4,Yes,Indoor,No,Nurse,BSc Nursing,IBA Karachi,
Diana,16,Other,Matric,Sedentary,"Patient, Curious, Analytical",Photography,Data Analysis,Marketing and Branding  ,Public Relations  ,Social Work,Project Management,Communication,Hybrid,1,5,Yes,No preference,Yes,Software Engineer,BSc Computer Science,QAU Islamabad,
Julia,21,Female,Matric,Sedentary,"Organized, Adventurous, Assertive",Music,Mathematics,Business  ,Social Media Management  ,Social Work,Project Management,Problem-Solving,Remote,1,4,No,Outdoor,No,Journalist,BA Journalism,IBA Karachi,
Hannah,16,Female,Diploma,Moderately Active,"Analytical, Creative, Detail-Oriented",Writing,Mathematics,Team Leadership  ,Broadcasting  ,Education,Project Management,Leadership,On-site,1,4,Yes,No preference,No,Social Worker,BA Social Work,GIKI,
Bob,19,Female,Undergraduate,Active,"Patient, Creative, Curious",Writing,Data Analysis,Organizational Strategy  ,Digital Content Creation  ,Non-profit Work,Graphic Design,Communication,Hybrid,2,2,No,Outdoor,Yes,Psychologist,BSc Psychology,COMSATS,
Fiona,21,Male,FSc,Moderately Active,"Organized, Patient, Empathetic",Writing,Data Analysis,Finance  ,Journalism  ,Non-profit Work,Data Analysis,Leadership,Hybrid,2,3,No,No preference,Yes,Mechanical Engineer,BEng Mechanical,LUMS,
Alice,21,Other,Diploma,Active,"Analytical, Creative, Practical",Writing,Engineering,Marketing and Branding  ,Public Relations  ,Social Work,Graphic Design,Communication,Remote,2,2,Yes,No preference,Yes,Data Scientist,BSc Data Science,LUMS,
Julia,22,Male,Matric,Active,"Detail-Oriented, Organized, Practical",Writing,Physics,Business  ,Social Media Management  ,Counseling,Programming,Teamwork,On-site,4,4,No,No preference,Yes,Photographer,Diploma Photography,QAU Islamabad,
Fiona,22,Male,Diploma,Moderately Active,"Analytical, Organized, Practical",Writing,Data Analysis,Team Leadership  ,Broadcasting  ,Healthcare,Programming,Teamwork,Hybrid,3,4,Yes,No preference,No,Journalist,BA Journalism,NUST,
Julia,17,Female,FSc,Active,"Empathetic, Curious, Adventurous",Music,Data Analysis,Organizational Strategy  ,Digital Content Creation  ,Social Work,Project Management,Problem-Solving,On-site,4,2,No,Outdoor,No,Photographer,Diploma Photography,LUMS,
Diana,19,Other,Matric,Moderately Active,"Empathetic, Organized, Practical",Photography,Physics,Finance  ,Journalism  ,Social Work,Project Management,Adaptability,On-site,3,2,No,No preference,Yes,Software Engineer,BSc Computer Science,LUMS,
Diana,17,Other,Matric,Active,"Analytical, Organized, Patient",Design,Mathematics,Marketing and Branding  ,Public Relations  ,Social Work,Data Analysis,Teamwork,On-site,2,4,Yes,Indoor,No,Nurse,BSc Nursing,GIKI,
Diana,19,Female,FSc,Active,"Curious, Practical, Empathetic",Writing,Engineering,Business  ,Social Media Management  ,Counseling,Data Analysis,Communication,Hybrid,5,4,No,Outdoor,No,Psychologist,BSc Psychology,QAU Islamabad,
Fiona,21,Other,FSc,Moderately Active,"Practical, Creative, Empathetic",Writing,Programming,Team Leadership  ,Broadcasting  ,Healthcare,Data Analysis,Adaptability,Remote,5,4,No,No preference,No,Graphic Designer,BA Graphic Design,GIKI,
Diana,21,Male,Diploma,Active,"Organized, Patient, Detail-Oriented",Photography,Programming,Organizational Strategy  ,Digital Content Creation  ,Social Work,Writing,Teamwork,Hybrid,2,4,Yes,Indoor,No,Data Scientist,BSc Data Science,QAU Islamabad,
Julia,22,Other,Matric,Moderately Active,"Assertive, Analytical, Organized",Music,Programming,Finance  ,Journalism  ,Social Work,Programming,Leadership,Hybrid,5,5,No,No preference,No,Photographer,Diploma Photography,COMSATS,
Ethan,17,Other,FSc,Sedentary,"Curious, Patient, Empathetic",Music,Engineering,Marketing and Branding  ,Public Relations  ,Non-profit Work,Programming,Communication,Remote,5,3,Yes,Indoor,No,Software Engineer,BSc Computer Science,University of the Punjab,
Ethan,17,Female,Diploma,Sedentary,"Empathetic, Curious, Detail-Oriented",Design,Physics,Business  ,Social Media Management  ,Non-profit Work,Data Analysis,Problem-Solving,Remote,2,2,No,Indoor,Yes,Social Worker,BA Social Work,Aga Khan University,
Alice,20,Other,FSc,Sedentary,"Practical, Assertive, Curious",Music,Engineering,Team Leadership  ,Broadcasting  ,Non-profit Work,Programming,Communication,Remote,3,1,Yes,No preference,No,Photographer,Diploma Photography,GIKI,
Bob,21,Other,Matric,Moderately Active,"Assertive, Detail-Oriented, Creative",Design,Programming,Organizational Strategy  ,Digital Content Creation  ,Education,Data Analysis,Leadership,Hybrid,1,1,No,Indoor,Yes,Mechanical Engineer,BEng Mechanical,COMSATS,
Fiona,19,Female,Diploma,Moderately Active,"Patient, Creative, Adventurous",Music,Data Analysis,Finance  ,Journalism  ,Education,Graphic Design,Teamwork,On-site,4,3,No,Outdoor,No,Psychologist,BSc Psychology,University of the Punjab,
George,18,Other,FSc,Sedentary,"Patient, Organized, Analytical",Photography,Data Analysis,Marketing and Branding  ,Public Relations  ,Social Work,Programming,Teamwork,On-site,3,3,No,Outdoor,No,Journalist,BA Journalism,COMSATS,
Alice,21,Female,Matric,Sedentary,"Analytical, Empathetic, Adventurous",Photography,Programming,Business  ,Social Media Management  ,Counseling,Programming,Problem-Solving,Hybrid,4,3,Yes,Outdoor,No,Mechanical Engineer,BEng Mechanical,Aga Khan University,
Fiona,19,Other,Diploma,Moderately Active,"Analytical, Organized, Curious",Photography,Engineering,Team Leadership  ,Broadcasting  ,Social Work,Writing,Problem-Solving,Hybrid,2,1,Yes,Outdoor,Yes,Psychologist,BSc Psychology,QAU Islamabad,
Alice,22,Male,Undergraduate,Active,"Practical, Empathetic, Curious",Photography,Mathematics,Organizational Strategy  ,Digital Content Creation  ,Social Work,Data Analysis,Communication,On-site,1,2,No,Outdoor,Yes,Photographer,Diploma Photography,University of the Punjab,
Charlie,16,Other,FSc,Sedentary,"Adventurous, Creative, Analytical",Design,Engineering,Finance  ,Journalism  ,Non-profit Work,Writing,Communication,Remote,1,4,No,Outdoor,Yes,Teacher,BEd,GIKI,
Hannah,17,Female,Matric,Active,"Adventurous, Patient, Analytical",Writing,Data Analysis,Marketing and Branding  ,Public Relations  ,Education,Project Management,Leadership,Remote,5,1,No,Indoor,No,Nurse,BSc Nursing,NUST,
Alice,20,Other,Matric,Moderately Active,"Analytical, Practical, Assertive",Music,Engineering,Business  ,Social Media Management  ,Education,Data Analysis,Adaptability,Hybrid,4,5,Yes,Outdoor,No,Mechanical Engineer,BEng Mechanical,University of the Punjab,
George,19,Other,Diploma,Moderately Active,"Curious, Adventurous, Assertive",Writing,Programming,Team Leadership  ,Broadcasting  ,Social Work,Data Analysis,Problem-Solving,Hybrid,4,4,Yes,No preference,No,Graphic Designer,BA Graphic Design,COMSATS,
Julia,22,Male,Matric,Active,"Curious, Detail-Oriented, Adventurous",Photography,Mathematics,Organizational Strategy  ,Digital Content Creation  ,Healthcare,Data Analysis,Teamwork,Remote,5,1,Yes,No preference,No,Social Worker,BA Social Work,University of the Punjab,
Julia,17,Other,Diploma,Moderately Active,"Patient, Adventurous, Assertive",Writing,Mathematics,Finance  ,Journalism  ,Counseling,Writing,Leadership,Hybrid,5,3,No,Outdoor,No,Software Engineer,BSc Computer Science,COMSATS,
Diana,18,Male,Matric,Moderately Active,"Patient, Adventurous, Assertive",Design,Physics,Marketing and Branding  ,Public Relations  ,Education,Graphic Design,Adaptability,Remote,5,1,Yes,Outdoor,No,Nurse,BSc Nursing,FAST-NUCES,
Julia,19,Male,FSc,Moderately Active,"Patient, Adventurous, Practical",Music,Mathematics,Business  ,Social Media Management  ,Healthcare,Graphic Design,Communication,Hybrid,1,1,Yes,No preference,Yes,Photographer,Diploma Photography,University of the Punjab,
Alice,20,Other,Matric,Active,"Organized, Adventurous, Creative",Writing,Programming,Team Leadership  ,Broadcasting  ,Social Work,Project Management,Problem-Solving,Hybrid,1,3,Yes,Indoor,No,Mechanical Engineer,BEng Mechanical,LUMS,
Ivan,22,Male,FSc,Moderately Active,"Creative, Organized, Analytical",Music,Programming,Organizational Strategy  ,Digital Content Creation  ,Education,Data Analysis,Teamwork,Hybrid,4,4,No,No preference,No,Data Scientist,BSc Data Science,FAST-NUCES,
Bob,21,Female,FSc,Active,"Creative, Practical, Organized",Photography,Engineering,Finance  ,Journalism  ,Social Work,Data Analysis,Adaptability,On-site,1,2,No,No preference,No,Psychologist,BSc Psychology,LUMS,
Fiona,22,Female,Matric,Moderately Active,"Analytical, Empathetic, Curious",Photography,Engineering,Marketing and Branding  ,Public Relations  ,Social Work,Writing,Problem-Solving,On-site,4,3,No,No preference,Yes,Software Engineer,BSc Computer Science,COMSATS,
Alice,21,Other,FSc,Sedentary,"Organized, Creative, Assertive",Music,Data Analysis,Business  ,Social Media Management  ,Education,Writing,Leadership,On-site,1,2,Yes,Indoor,Yes,Social Worker,BA Social Work,University of the Punjab,
Julia,21,Male,FSc,Sedentary,"Creative, Organized, Curious",Photography,Engineering,Team Leadership  ,Broadcasting  ,Social Work,Graphic Design,Communication,Remote,4,3,Yes,Outdoor,No,Social Worker,BA Social Work,QAU Islamabad,
Hannah,17,Other,Matric,Moderately Active,"Analytical, Detail-Oriented, Assertive",Writing,Engineering,Organizational Strategy  ,Digital Content Creation  ,Counseling,Writing,Problem-Solving,Remote,4,1,No,Indoor,No,Psychologist,BSc Psychology,COMSATS,
Bob,20,Other,Matric,Sedentary,"Assertive, Practical, Curious",Music,Mathematics,Finance  ,Journalism  ,Counseling,Project Management,Communication,Hybrid,4,1,Yes,Indoor,Yes,Journalist,BA Journalism,University of the Punjab,
Diana,19,Other,Diploma,Moderately Active,"Creative, Adventurous, Patient",Design,Physics,Marketing and Branding  ,Public Relations  ,Counseling,Project Management,Leadership,Remote,3,4,Yes,No preference,No,Software Engineer,BSc Computer Science,COMSATS,
Julia,16,Male,Matric,Moderately Active,"Detail-Oriented, Curious, Practical",Design,Data Analysis,Business  ,Social Media Management  ,Education,Graphic Design,Leadership,Remote,3,4,Yes,Outdoor,No,Software Engineer,BSc Computer Science,LUMS,
George,18,Female,Matric,Moderately Active,"Organized, Creative, Adventurous",Music,Mathematics,Team Leadership  ,Broadcasting  ,Non-profit Work,Project Management,Teamwork,Hybrid,2,3,Yes,Indoor,No,Teacher,BEd,QAU Islamabad,
Julia,16,Female,FSc,Active,"Creative, Assertive, Curious",Photography,Programming,Organizational Strategy  ,Digital Content Creation  ,Healthcare,Programming,Leadership,On-site,3,5,No,No preference,Yes,Software Engineer,BSc Computer Science,UET Lahore,
Bob,21,Other,FSc,Sedentary,"Creative, Patient, Detail-Oriented",Photography,Mathematics,Finance  ,Journalism  ,Counseling,Project Management,Leadership,On-site,2,4,Yes,No preference,Yes,Mechanical Engineer,BEng Mechanical,IBA Karachi,
Charlie,22,Male,Diploma,Moderately Active,"Organized, Assertive, Creative",Design,Mathematics,Marketing and Branding  ,Public Relations  ,Social Work,Data Analysis,Leadership,Hybrid,1,3,No,No preference,Yes,Software Engineer,BSc Computer Science,UET Lahore,
Alice,20,Female,FSc,Active,"Assertive, Detail-Oriented, Analytical",Photography,Physics,Business  ,Social Media Management  ,Counseling,Data Analysis,Teamwork,On-site,2,3,Yes,Indoor,Yes,Graphic Designer,BA Graphic Design,COMSATS,
Ethan,22,Male,FSc,Sedentary,"Assertive, Adventurous, Empathetic",Design,Physics,Team Leadership  ,Broadcasting  ,Non-profit Work,Graphic Design,Leadership,On-site,2,1,Yes,No preference,Yes,Photographer,Diploma Photography,Aga Khan University,
Fiona,16,Other,Diploma,Active,"Assertive, Creative, Analytical",Writing,Data Analysis,Organizational Strategy  ,Digital Content Creation  ,Healthcare,Programming,Adaptability,On-site,2,5,No,Indoor,No,Teacher,BEd,LUMS,
Ivan,16,Female,Undergraduate,Sedentary,"Adventurous, Empathetic, Detail-Oriented",Writing,Physics,Finance  ,Journalism  ,Non-profit Work,Data Analysis,Teamwork,On-site,4,3,No,No preference,No,Data Scientist,BSc Data Science,University of the Punjab,
Bob,16,Male,FSc,Moderately Active,"Creative, Assertive, Organized",Music,Mathematics,Marketing and Branding  ,Public Relations  ,Non-profit Work,Programming,Adaptability,Hybrid,3,1,No,Indoor,Yes,Nurse,BSc Nursing,QAU Islamabad,
Fiona,16,Other,FSc,Active,"Curious, Detail-Oriented, Organized",Music,Physics,Business  ,Social Media Management  ,Counseling,Writing,Adaptability,Remote,2,5,Yes,Indoor,Yes,Psychologist,BSc Psychology,University of the Punjab,
Diana,20,Male,Diploma,Active,"Patient, Organized, Practical",Photography,Engineering,Team Leadership  ,Broadcasting  ,Education,Data Analysis,Communication,Remote,1,4,No,Outdoor,No,Photographer,Diploma Photography,Aga Khan University,
Diana,21,Female,FSc,Sedentary,"Organized, Patient, Adventurous",Design,Physics,Organizational Strategy  ,Digital Content Creation  ,Counseling,Graphic Design,Communication,Hybrid,3,5,No,Indoor,Yes,Graphic Designer,BA Graphic Design,NUST,
Hannah,19,Male,FSc,Moderately Active,"Organized, Patient, Curious",Writing,Engineering,Finance  ,Journalism  ,Healthcare,Graphic Design,Problem-Solving,Hybrid,1,1,No,No preference,No,Photographer,Diploma Photography,QAU Islamabad,
Julia,22,Male,Undergraduate,Moderately Active,"Empathetic, Detail-Oriented, Creative",Photography,Mathematics,Marketing and Branding  ,Public Relations  ,Counseling,Data Analysis,Problem-Solving,Remote,1,3,No,Outdoor,No,Journalist,BA Journalism,COMSATS,
George,21,Male,Diploma,Sedentary,"Adventurous, Organized, Practical",Music,Engineering,Business  ,Social Media Management  ,Social Work,Programming,Adaptability,Remote,5,1,No,Outdoor,Yes,Data Scientist,BSc Data Science,FAST-NUCES,
Hannah,20,Other,Undergraduate,Active,"Curious, Patient, Adventurous",Music,Data Analysis,Team Leadership  ,Broadcasting  ,Non-profit Work,Programming,Communication,On-site,5,4,Yes,Indoor,No,Data Scientist,BSc Data Science,LUMS,
Hannah,18,Female,FSc,Moderately Active,"Adventurous, Detail-Oriented, Practical",Photography,Programming,Organizational Strategy  ,Digital Content Creation  ,Social Work,Writing,Problem-Solving,On-site,4,5,No,Indoor,No,Nurse,BSc Nursing,University of the Punjab,
Ethan,16,Male,Matric,Moderately Active,"Organized, Practical, Detail-Oriented",Design,Data Analysis,Finance  ,Journalism  ,Healthcare,Writing,Teamwork,Hybrid,1,1,Yes,No preference,No,Nurse,BSc Nursing,University of the Punjab,
Bob,16,Female,Matric,Sedentary,"Practical, Assertive, Adventurous",Photography,Data Analysis,Marketing and Branding  ,Public Relations  ,Healthcare,Programming,Teamwork,Remote,3,3,No,Indoor,Yes,Graphic Designer,BA Graphic Design,FAST-NUCES,
Fiona,19,Male,Matric,Active,"Empathetic, Creative, Detail-Oriented",Music,Physics,Business  ,Social Media Management  ,Social Work,Project Management,Problem-Solving,On-site,3,4,Yes,Outdoor,No,Teacher,BEd,QAU Islamabad,
Ivan,22,Female,Matric,Active,"Patient, Assertive, Curious",Design,Programming,Team Leadership  ,Broadcasting  ,Counseling,Project Management,Communication,Hybrid,4,1,No,Outdoor,Yes,Psychologist,BSc Psychology,QAU Islamabad,
Bob,19,Other,FSc,Moderately Active,"Assertive, Curious, Creative",Music,Engineering,Organizational Strategy  ,Digital Content Creation  ,Education,Writing,Communication,On-site,3,2,Yes,Indoor,Yes,Mechanical Engineer,BEng Mechanical,NUST,
Diana,18,Other,FSc,Active,"Assertive, Detail-Oriented, Empathetic",Music,Programming,Finance  ,Journalism  ,Healthcare,Programming,Teamwork,On-site,1,5,Yes,Indoor,No,Nurse,BSc Nursing,IBA Karachi,
George,19,Female,Diploma,Sedentary,"Creative, Curious, Analytical",Photography,Engineering,Marketing and Branding  ,Public Relations  ,Counseling,Writing,Problem-Solving,Remote,3,4,Yes,Outdoor,No,Psychologist,BSc Psychology,GIKI,
Julia,18,Female,FSc,Moderately Active,"Practical, Empathetic, Adventurous",Music,Engineering,Business  ,Social Media Management  ,Healthcare,Programming,Problem-Solving,Hybrid,1,2,Yes,Indoor,Yes,Nurse,BSc Nursing,FAST-NUCES,
Ethan,22,Male,Diploma,Moderately Active,"Adventurous, Analytical, Detail-Oriented",Photography,Data Analysis,Team Leadership  ,Broadcasting  ,Healthcare,Data Analysis,Teamwork,Remote,4,5,Yes,No preference,Yes,Social Worker,BA Social Work,Aga Khan University,
George,21,Female,Undergraduate,Active,"Assertive, Adventurous, Empathetic",Design,Engineering,Organizational Strategy  ,Digital Content Creation  ,Non-profit Work,Programming,Teamwork,Remote,5,2,No,Outdoor,No,Journalist,BA Journalism,Aga Khan University,
Diana,17,Other,Undergraduate,Sedentary,"Organized, Practical, Curious",Photography,Data Analysis,Finance  ,Journalism  ,Social Work,Data Analysis,Adaptability,Remote,1,1,No,No preference,Yes,Teacher,BEd,IBA Karachi,
George,16,Male,FSc,Sedentary,"Empathetic, Adventurous, Practical",Photography,Physics,Marketing and Branding  ,Public Relations  ,Healthcare,Data Analysis,Adaptability,Remote,5,3,No,Outdoor,Yes,Graphic Designer,BA Graphic Design,Aga Khan University,
George,19,Female,FSc,Active,"Patient, Practical, Analytical",Writing,Physics,Business  ,Social Media Management  ,Counseling,Project Management,Leadership,On-site,1,2,Yes,Outdoor,Yes,Mechanical Engineer,BEng Mechanical,FAST-NUCES,
Bob,16,Female,Matric,Moderately Active,"Detail-Oriented, Practical, Assertive",Design,Data Analysis,Team Leadership  ,Broadcasting  ,Non-profit Work,Writing,Leadership,Hybrid,2,2,No,Outdoor,No,Teacher,BEd,LUMS,
Alice,18,Male,Diploma,Sedentary,"Practical, Patient, Creative",Photography,Engineering,Organizational Strategy  ,Digital Content Creation  ,Non-profit Work,Programming,Problem-Solving,Remote,1,2,No,Indoor,No,Psychologist,BSc Psychology,NUST,
Ivan,17,Other,Undergraduate,Sedentary,"Patient, Adventurous, Analytical",Design,Physics,Finance  ,Journalism  ,Social Work,Graphic Design,Teamwork,Remote,4,1,Yes,Outdoor,No,Photographer,Diploma Photography,FAST-NUCES,
George,18,Female,Diploma,Sedentary,"Organized, Empathetic, Analytical",Music,Data Analysis,Marketing and Branding  ,Public Relations  ,Healthcare,Project Management,Teamwork,On-site,3,4,Yes,Indoor,No,Graphic Designer,BA Graphic Design,LUMS,
Bob,21,Male,Undergraduate,Sedentary,"Practical, Detail-Oriented, Patient",Music,Mathematics,Business  ,Social Media Management  ,Social Work,Writing,Problem-Solving,Remote,3,4,Yes,Indoor,No,Social Worker,BA Social Work,University of the Punjab,
Hannah,20,Other,Matric,Sedentary,"Adventurous, Practical, Detail-Oriented",Music,Programming,Team Leadership  ,Broadcasting  ,Education,Data Analysis,Adaptability,Hybrid,1,1,No,Outdoor,Yes,Graphic Designer,BA Graphic Design,GIKI,
George,20,Female,Undergraduate,Moderately Active,"Creative, Organized, Assertive",Photography,Data Analysis,Organizational Strategy  ,Digital Content Creation  ,Education,Programming,Communication,On-site,2,1,No,No preference,No,Software Engineer,BSc Computer Science,NUST,
Fiona,17,Female,Undergraduate,Moderately Active,"Patient, Curious, Creative",Photography,Mathematics,Finance  ,Journalism  ,Counseling,Data Analysis,Leadership,Remote,2,4,Yes,Outdoor,No,Graphic Designer,BA Graphic Design,GIKI,
Julia,22,Male,FSc,Active,"Curious, Empathetic, Analytical",Music,Data Analysis,Marketing and Branding  ,Public Relations  ,Counseling,Programming,Communication,On-site,1,1,Yes,No preference,Yes,Graphic Designer,BA Graphic Design,Aga Khan University,
Diana,19,Other,Undergraduate,Active,"Detail-Oriented, Adventurous, Empathetic",Writing,Data Analysis,Business  ,Social Media Management  ,Non-profit Work,Graphic Design,Problem-Solving,On-site,1,2,No,Outdoor,No,Software Engineer,BSc Computer Science,QAU Islamabad,
Fiona,20,Female,Matric,Active,"Detail-Oriented, Assertive, Analytical",Writing,Engineering,Team Leadership  ,Broadcasting  ,Education,Programming,Leadership,Remote,5,2,No,No preference,No,Photographer,Diploma Photography,COMSATS,
Fiona,20,Other,Undergraduate,Moderately Active,"Organized, Patient, Adventurous",Writing,Programming,Organizational Strategy  ,Digital Content Creation  ,Counseling,Graphic Design,Teamwork,Remote,5,2,No,Outdoor,Yes,Software Engineer,BSc Computer Science,IBA Karachi,
Ethan,22,Female,FSc,Moderately Active,"Assertive, Analytical, Practical",Music,Engineering,Finance  ,Journalism  ,Non-profit Work,Project Management,Adaptability,Remote,3,1,Yes,No preference,No,Software Engineer,BSc Computer Science,GIKI,
Hannah,17,Female,Undergraduate,Active,"Adventurous, Organized, Practical",Design,Mathematics,Marketing and Branding  ,Public Relations  ,Counseling,Writing,Teamwork,Remote,4,2,Yes,Outdoor,No,Teacher,BEd,Aga Khan University,
Alice,20,Male,Diploma,Active,"Patient, Creative, Organized",Music,Engineering,Business  ,Social Media Management  ,Counseling,Data Analysis,Leadership,Hybrid,2,5,Yes,Indoor,Yes,Teacher,BEd,IBA Karachi,
Charlie,22,Female,Matric,Sedentary,"Creative, Assertive, Empathetic",Design,Engineering,Team Leadership  ,Broadcasting  ,Education,Writing,Communication,Hybrid,3,3,Yes,Outdoor,Yes,Mechanical Engineer,BEng Mechanical,FAST-NUCES,
Julia,19,Other,Undergraduate,Active,"Adventurous, Creative, Practical",Design,Data Analysis,Organizational Strategy  ,Digital Content Creation  ,Education,Programming,Communication,Hybrid,1,5,No,Outdoor,No,Social Worker,BA Social Work,FAST-NUCES,
Fiona,17,Other,Matric,Active,"Organized, Practical, Empathetic",Writing,Programming,Finance  ,Journalism  ,Healthcare,Graphic Design,Leadership,Remote,3,5,Yes,Indoor,Yes,Nurse,BSc Nursing,UET Lahore,
Alice,22,Female,Diploma,Sedentary,"Practical, Detail-Oriented, Patient",Music,Mathematics,Marketing and Branding  ,Public Relations  ,Counseling,Programming,Leadership,On-site,3,3,Yes,No preference,No,Journalist,BA Journalism,FAST-NUCES,
George,22,Female,Diploma,Active,"Empathetic, Patient, Practical",Design,Engineering,Business  ,Social Media Management  ,Healthcare,Data Analysis,Communication,On-site,3,2,No,Indoor,No,Journalist,BA Journalism,QAU Islamabad,
Julia,16,Other,Undergraduate,Sedentary,"Organized, Adventurous, Analytical",Design,Engineering,Team Leadership  ,Broadcasting  ,Non-profit Work,Graphic Design,Adaptability,Hybrid,3,4,No,Indoor,Yes,Nurse,BSc Nursing,UET Lahore,
Bob,18,Other,Diploma,Active,"Curious, Organized, Patient",Design,Engineering,Organizational Strategy  ,Digital Content Creation  ,Healthcare,Writing,Adaptability,Remote,2,2,No,Outdoor,No,Journalist,BA Journalism,LUMS,
Julia,16,Male,Matric,Active,"Curious, Empathetic, Creative",Design,Engineering,Finance  ,Journalism  ,Healthcare,Graphic Design,Problem-Solving,On-site,1,5,No,No preference,Yes,Photographer,Diploma Photography,QAU Islamabad,
Ethan,20,Other,Matric,Active,"Creative, Organized, Practical",Design,Programming,Marketing and Branding  ,Public Relations  ,Healthcare,Writing,Adaptability,On-site,1,2,Yes,Indoor,Yes,Psychologist,BSc Psychology,UET Lahore,
George,16,Other,Diploma,Active,"Adventurous, Patient, Analytical",Writing,Mathematics,Business  ,Social Media Management  ,Education,Writing,Leadership,Remote,2,5,No,No preference,Yes,Social Worker,BA Social Work,QAU Islamabad,
Ivan,16,Male,Diploma,Active,"Patient, Empathetic, Curious",Design,Engineering,Team Leadership  ,Broadcasting  ,Education,Graphic Design,Teamwork,Hybrid,2,3,No,No preference,Yes,Journalist,BA Journalism,NUST,
Alice,22,Female,Matric,Moderately Active,"Practical, Creative, Assertive",Writing,Engineering,Organizational Strategy  ,Digital Content Creation  ,Healthcare,Graphic Design,Teamwork,On-site,3,2,Yes,No preference,No,Social Worker,BA Social Work,NUST,
Alice,18,Female,Diploma,Sedentary,"Curious, Empathetic, Assertive",Music,Programming,Finance  ,Journalism  ,Social Work,Graphic Design,Leadership,On-site,1,4,Yes,Outdoor,No,Graphic Designer,BA Graphic Design,NUST,
Alice,16,Female,Undergraduate,Moderately Active,"Empathetic, Assertive, Analytical",Design,Programming,Marketing and Branding  ,Public Relations  ,Non-profit Work,Programming,Leadership,On-site,5,1,Yes,Outdoor,Yes,Teacher,BEd,University of the Punjab,
Charlie,22,Other,Matric,Moderately Active,"Adventurous, Curious, Assertive",Design,Engineering,Business  ,Social Media Management  ,Education,Programming,Problem-Solving,Hybrid,3,2,No,Indoor,No,Graphic Designer,BA Graphic Design,GIKI,
George,17,Other,Diploma,Moderately Active,"Assertive, Patient, Adventurous",Music,Mathematics,Team Leadership  ,Broadcasting  ,Healthcare,Data Analysis,Adaptability,Hybrid,3,1,No,Outdoor,No,Software Engineer,BSc Computer Science,FAST-NUCES,
Fiona,22,Male,Undergraduate,Sedentary,"Creative, Analytical, Organized",Music,Physics,Organizational Strategy  ,Digital Content Creation  ,Healthcare,Programming,Communication,Hybrid,5,1,Yes,No preference,Yes,Photographer,Diploma Photography,COMSATS,
Alice,21,Female,Matric,Moderately Active,"Curious, Creative, Detail-Oriented",Music,Data Analysis,Finance  ,Journalism  ,Counseling,Data Analysis,Problem-Solving,Hybrid,3,5,Yes,No preference,No,Psychologist,BSc Psychology,FAST-NUCES,
Alice,18,Female,FSc,Sedentary,"Creative, Analytical, Detail-Oriented",Music,Physics,Marketing and Branding  ,Public Relations  ,Social Work,Writing,Communication,Remote,4,5,Yes,Indoor,Yes,Software Engineer,BSc Computer Science,University of the Punjab,
Bob,18,Other,FSc,Active,"Practical, Adventurous, Detail-Oriented",Writing,Engineering,Business  ,Social Media Management  ,Non-profit Work,Writing,Teamwork,Hybrid,4,2,Yes,No preference,Yes,Psychologist,BSc Psychology,Aga Khan University,
Ivan,21,Other,Undergraduate,Moderately Active,"Curious, Organized, Practical",Writing,Programming,Team Leadership  ,Broadcasting  ,Counseling,Writing,Problem-Solving,Hybrid,3,3,Yes,Outdoor,No,Mechanical Engineer,BEng Mechanical,GIKI,
Hannah,16,Other,Diploma,Active,"Organized, Practical, Analytical",Photography,Engineering,Organizational Strategy  ,Digital Content Creation  ,Non-profit Work,Project Management,Leadership,Hybrid,4,5,Yes,Indoor,Yes,Data Scientist,BSc Data Science,LUMS,
Hannah,19,Other,FSc,Moderately Active,"Adventurous, Analytical, Detail-Oriented",Writing,Mathematics,Finance  ,Journalism  ,Social Work,Project Management,Leadership,Remote,2,3,No,No preference,Yes,Social Worker,BA Social Work,GIKI,
Ivan,18,Female,Diploma,Moderately Active,"Adventurous, Curious, Patient",Photography,Engineering,Marketing and Branding  ,Public Relations  ,Non-profit Work,Programming,Teamwork,On-site,1,1,Yes,No preference,Yes,Photographer,Diploma Photography,GIKI,
